,index,numberOfGroups,pubNum,locality,numOfCoop,method,application_id,server_id,x,y,capacity,used,connection,cp,mpnum,cluster_id,a,b,d
572,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
573,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
574,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
575,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
576,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
577,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
578,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
579,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
580,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
581,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
582,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
583,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
584,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
585,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
586,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
587,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
588,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
589,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
590,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
591,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
592,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
593,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
594,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
595,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
596,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
597,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
598,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
599,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
600,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
601,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
602,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
603,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
604,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
605,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
606,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
607,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
608,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
609,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
610,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
611,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
612,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
613,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
614,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
615,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
616,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
617,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
618,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
